"ArrayRegularity","NRL","Shift","ORF"
0.59,166,-34,"YDL051W"
0.9,162,6,"YDL049C"
0.73,151,0,"YDL048C"
0.83,167,-25,"YDL047W"
0.68,150,5,"YDL046W"
0.86,163,0,"YDL045W-A"
0.94,161,14,"YDL045C"
0.92,165,16,"YDL044C"
0.75,162,0,"YDL043C"
0.77,191,-3,"YDL042C"
0.92,166,12,"YDL040C"
0.36,182,34,"YDL039C"
0.93,176,7,"YDL037C"
0.89,170,1,"YDL036C"
0.76,166,12,"YDL035C"
0.68,174,0,"YDL033C"
0.94,169,0,"YDL031W"
0.93,167,10,"YDL030W"
0.93,167,-1,"YDL029W"
0.95,163,0,"YDL028C"
0.96,165,0,"YDL025C"
0.92,168,9,"YDL024C"
0.86,170,-6,"YDL022W"
0.77,185,15,"YDL021W"
0.6,157,13,"YDL020C"
0.95,163,-8,"YDL019C"
0.9,166,18,"YDL018C"
0.91,167,-30,"YDL017W"
0.86,170,-11,"YDL015C"
0.87,165,0,"YDL014W"
0.92,170,9,"YDL013W"
0.88,173,0,"YDL012C"
0.81,157,19,"YDL010W"
0.66,171,-3,"YDL008W"
0.95,165,1,"YDL007W"
0.86,170,-11,"YDL006W"
0.84,159,-18,"YDL005C"
0.75,155,0,"YDL004W"
0.94,168,-2,"YDL003W"
0.74,161,0,"YDL002C"
0.81,166,2,"YDL001W"
0.74,160,-22,"YDR001C"
0.7,189,-41,"YDR002W"
0.88,170,-1,"YDR003W"
0.88,169,23,"YDR004W"
0.95,170,3,"YDR005C"
0.95,168,6,"YDR006C"
0.73,163,8,"YDR007W"
0.74,167,-21,"YDR011W"
0.43,159,0,"YDR012W"
0.92,164,-12,"YDR013W"
0.86,168,29,"YDR014W"
0.31,185,17,"YDR014W-A"
0.69,152,0,"YDR016C"
0.83,179,-2,"YDR017C"
0.85,171,17,"YDR019C"
0.9,168,10,"YDR021W"
0.86,181,-4,"YDR022C"
0.82,152,20,"YDR023W"
0.63,158,12,"YDR025W"
0.91,167,-16,"YDR026C"
0.95,161,0,"YDR027C"
0.85,167,-7,"YDR028C"
0.91,168,0,"YDR030C"
0.83,162,5,"YDR031W"
0.81,163,16,"YDR032C"
0.5,179,0,"YDR033W"
0.8,160,0,"YDR034C"
0.95,165,-2,"YDR035W"
0.89,167,0,"YDR036C"
0.81,162,14,"YDR037W"
0,NA,NA,"YDR038C"
0,NA,NA,"YDR039C"
0.82,172,-28,"YDR040C"
0.93,160,0,"YDR041W"
0.87,172,9,"YDR043C"
0.7,173,-25,"YDR044W"
0.93,177,0,"YDR045C"
0.86,164,0,"YDR046C"
0.89,170,12,"YDR047W"
0.68,147,1,"YDR050C"
0.94,167,0,"YDR051C"
0.88,165,0,"YDR052C"
0.91,166,0,"YDR054C"
0.9,173,5,"YDR055W"
0.95,169,0,"YDR057W"
0.8,164,27,"YDR058C"
0.73,164,-17,"YDR059C"
0.92,166,10,"YDR060W"
0.8,169,0,"YDR062W"
0.62,166,-26,"YDR063W"
0.77,161,-5,"YDR064W"
0.89,168,38,"YDR065W"
0.9,168,0,"YDR068W"
0.91,163,0,"YDR069C"
0.86,180,14,"YDR071C"
0.68,156,0,"YDR072C"
0.64,156,4,"YDR073W"
0.82,161,8,"YDR074W"
0.93,168,-13,"YDR075W"
0.89,165,-8,"YDR076W"
0.78,167,-3,"YDR078C"
0.9,174,-4,"YDR079W"
0.84,174,2,"YDR079C-A"
0.86,163,-4,"YDR080W"
0.88,164,0,"YDR081C"
0.97,161,0,"YDR082W"
0.77,168,22,"YDR083W"
0.93,166,9,"YDR084C"
0.68,164,-13,"YDR086C"
0.9,158,12,"YDR087C"
0.9,170,-25,"YDR088C"
0.82,164,0,"YDR091C"
0.94,167,-9,"YDR092W"
0.86,162,0,"YDR093W"
0.73,220,8,"YDR096W"
0.88,166,3,"YDR097C"
